,0
0,871f18869ffffff
1,871f18b0dffffff
2,871f18b23ffffff
3,871f18b26ffffff
4,871f18b35ffffff
5,871f1d483ffffff
6,871f1d489ffffff
7,871f1d48bffffff
8,871f1d48effffff
9,871f1d49cffffff
10,871f1d4aaffffff
11,871f1d4b3ffffff
12,871f1d4d2ffffff
13,871f1d4d3ffffff
14,871f1d4f3ffffff
15,871f1d4f6ffffff
